,team,color,alt_color,logos,id,jersey,name,position,height,weight,year
0,Mercer,#ff7f29,#080808,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2382.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2382.png']",4702115,1,Cam Bryant,F,79,205,4
1,Mercer,#ff7f29,#080808,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2382.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2382.png']",5243237,24,Braeden Carlsen,G,76,200,1
2,Mercer,#ff7f29,#080808,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2382.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2382.png']",5108878,14,TJ Grant,F,77,210,3
3,Mercer,#ff7f29,#080808,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2382.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2382.png']",4702103,6,Alex Holt,F,80,220,4
4,Mercer,#ff7f29,#080808,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2382.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2382.png']",5243234,3,Tyler Johnson,G,74,180,4
5,Mercer,#ff7f29,#080808,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2382.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2382.png']",5243235,10,Alex Koch,C,80,200,1
6,Mercer,#ff7f29,#080808,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2382.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2382.png']",5105889,9,Angel Montas Jr.,G,78,225,2
7,Mercer,#ff7f29,#080808,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2382.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2382.png']",5107085,2,Jah Nze,G,76,225,3
8,Mercer,#ff7f29,#080808,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2382.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2382.png']",5243238,33,Marcus Overstreet,F,81,220,2
9,Mercer,#ff7f29,#080808,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2382.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2382.png']",5174576,12,Petras Padegimas,F,80,220,2
10,Mercer,#ff7f29,#080808,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2382.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2382.png']",5108876,0,Jah Quinones,G,76,225,3
11,Mercer,#ff7f29,#080808,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2382.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2382.png']",5175704,4,Ahmad Robinson,G,70,175,4
12,Mercer,#ff7f29,#080808,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2382.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2382.png']",5243236,11,Brady Shoulders,G,78,200,1
13,Mercer,#ff7f29,#080808,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2382.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2382.png']",4702005,22,Laurynas Vaistaras,F,79,215,4
14,Troy,#AE0210,#88898c,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2653.png']",5176735,10,Jerrell Bellamy,F,81,210,3
15,Troy,#AE0210,#88898c,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2653.png']",5240746,13,Cobi Campbell,G,74,195,3
16,Troy,#AE0210,#88898c,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2653.png']",5240745,3,Cooper Campbell,G,74,185,1
17,Troy,#AE0210,#88898c,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2653.png']",5176737,12,Tayton Conerway,G,75,186,4
18,Troy,#AE0210,#88898c,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2653.png']",5240749,95,Austin Cross,G,75,200,1
19,Troy,#AE0210,#88898c,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2653.png']",5176732,1,Thomas Dowd,F,80,225,2
