,Unnamed: 0,team,color,alt_color,logos,id,jersey,name,position,height,weight,year
0,0,Mercer,#ff7f29,#080808,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2382.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2382.png']",4702115.0,1,Cam Bryant,F,79,205,4
3,3,Mercer,#ff7f29,#080808,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2382.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2382.png']",4702103.0,6,Alex Holt,F,80,220,4
4,4,Mercer,#ff7f29,#080808,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2382.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2382.png']",5243234.0,3,Tyler Johnson,G,74,180,4
11,11,Mercer,#ff7f29,#080808,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2382.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2382.png']",5175704.0,4,Ahmad Robinson,G,70,175,4
12,12,Mercer,#ff7f29,#080808,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2382.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2382.png']",5243236.0,11,Brady Shoulders,G,78,200,1
16,16,Troy,#AE0210,#88898c,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2653.png']",5240745.0,3,Cooper Campbell,G,74,185,1
17,17,Troy,#AE0210,#88898c,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2653.png']",5176737.0,12,Tayton Conerway,G,75,186,4
19,19,Troy,#AE0210,#88898c,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2653.png']",5176732.0,1,Thomas Dowd,F,80,225,2
20,20,Troy,#AE0210,#88898c,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2653.png']",5106449.0,15,Jackson Fields,F,80,210,3
29,29,Troy,#AE0210,#88898c,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2653.png']",5176736.0,11,Victor Valdes,F,79,233,2
36,36,Belmont,#152532,#c8caca,[https://drive.google.com/drive-viewer/AKGpihaYb1Y1nEr1OtOU6402JARAiPa-6Moru1jZuz7Br_szY168Xq1E7MkBQHN6cMihX7ULokKQfUyKQP-JYZ05J_cdQ6JL1EKAPaM=w1920-h912],4683944.0,8,Tyler Lundblade,G,77,210,3
41,41,Belmont,#152532,#c8caca,[https://drive.google.com/drive-viewer/AKGpihaYb1Y1nEr1OtOU6402JARAiPa-6Moru1jZuz7Br_szY168Xq1E7MkBQHN6cMihX7ULokKQfUyKQP-JYZ05J_cdQ6JL1EKAPaM=w1920-h912],5175060.0,3,Jonathan Pierre,F,81,210,4
43,43,Belmont,#152532,#c8caca,[https://drive.google.com/drive-viewer/AKGpihaYb1Y1nEr1OtOU6402JARAiPa-6Moru1jZuz7Br_szY168Xq1E7MkBQHN6cMihX7ULokKQfUyKQP-JYZ05J_cdQ6JL1EKAPaM=w1920-h912],5176311.0,21,Brigham Rogers,F,81,240,2
45,45,Belmont,#152532,#c8caca,[https://drive.google.com/drive-viewer/AKGpihaYb1Y1nEr1OtOU6402JARAiPa-6Moru1jZuz7Br_szY168Xq1E7MkBQHN6cMihX7ULokKQfUyKQP-JYZ05J_cdQ6JL1EKAPaM=w1920-h912],4897261.0,7,Isaiah Walker,G,77,200,3
46,46,Belmont,#152532,#c8caca,[https://drive.google.com/drive-viewer/AKGpihaYb1Y1nEr1OtOU6402JARAiPa-6Moru1jZuz7Br_szY168Xq1E7MkBQHN6cMihX7ULokKQfUyKQP-JYZ05J_cdQ6JL1EKAPaM=w1920-h912],4711679.0,2,Carter Whitt,G,75,190,4
47,47,UCF,#ba9b37,#000000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2116.png']",4433595.0,6,Dallan Coleman,G,78,220,4
48,48,UCF,#ba9b37,#000000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2116.png']",5075625.0,4,Keyshawn Hall,G,79,235,3
51,51,UCF,#ba9b37,#000000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2116.png']",4703122.0,0,Jordan Ivy-Curry,G,75,177,4
53,53,UCF,#ba9b37,#000000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2116.png']",4684809.0,3,Darius Johnson,G,73,200,4
59,59,UCF,#ba9b37,#000000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2116.png']",5149078.0,52,Moustapha Thiam,C,86,235,1
64,64,Georgia State,#1e539a,#ebebeb,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2247.png']",5164367.0,22,Malachi Brown,G,73,175,2
66,66,Georgia State,#1e539a,#ebebeb,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2247.png']",4708074.0,4,Cesare Edwards,C,82,235,4
69,69,Georgia State,#1e539a,#ebebeb,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2247.png']",4895747.0,10,Jelani Hamilton,G,78,205,1
72,72,Georgia State,#1e539a,#ebebeb,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2247.png']",4702226.0,11,Toneari Lane,G,77,205,4
74,74,Georgia State,#1e539a,#ebebeb,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2247.png']",4703266.0,33,Nick McMullen,F,80,235,4
81,81,Jacksonville,#152532,#c8caca,[https://drive.google.com/drive-viewer/AKGpihaYb1Y1nEr1OtOU6402JARAiPa-6Moru1jZuz7Br_szY168Xq1E7MkBQHN6cMihX7ULokKQfUyKQP-JYZ05J_cdQ6JL1EKAPaM=w1920-h912],5179285.0,5,Zach Bell,G,74,180,3
88,88,Jacksonville,#152532,#c8caca,[https://drive.google.com/drive-viewer/AKGpihaYb1Y1nEr1OtOU6402JARAiPa-6Moru1jZuz7Br_szY168Xq1E7MkBQHN6cMihX7ULokKQfUyKQP-JYZ05J_cdQ6JL1EKAPaM=w1920-h912],4685802.0,13,Robert McCray V,G,76,186,3
91,91,Jacksonville,#152532,#c8caca,[https://drive.google.com/drive-viewer/AKGpihaYb1Y1nEr1OtOU6402JARAiPa-6Moru1jZuz7Br_szY168Xq1E7MkBQHN6cMihX7ULokKQfUyKQP-JYZ05J_cdQ6JL1EKAPaM=w1920-h912],4618121.0,16,Zimi Nwokeji,F,79,210,4
92,92,Jacksonville,#152532,#c8caca,[https://drive.google.com/drive-viewer/AKGpihaYb1Y1nEr1OtOU6402JARAiPa-6Moru1jZuz7Br_szY168Xq1E7MkBQHN6cMihX7ULokKQfUyKQP-JYZ05J_cdQ6JL1EKAPaM=w1920-h912],5108891.0,0,Stephon Payne III,F,81,220,3
94,94,Jacksonville,#152532,#c8caca,[https://drive.google.com/drive-viewer/AKGpihaYb1Y1nEr1OtOU6402JARAiPa-6Moru1jZuz7Br_szY168Xq1E7MkBQHN6cMihX7ULokKQfUyKQP-JYZ05J_cdQ6JL1EKAPaM=w1920-h912],4703003.0,8,Jakari Spence,G,72,185,4
99,99,Stetson,#0a5640,#56854e,"['http://a.espncdn.com/i/teamlogos/ncaa/500/56.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/56.png']",5105635.0,22,Abramo Canka,G,78,200,3
106,106,Stetson,#0a5640,#56854e,"['http://a.espncdn.com/i/teamlogos/ncaa/500/56.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/56.png']",4585594.0,1,Josh Massey,F,78,198,4
107,107,Stetson,#0a5640,#56854e,"['http://a.espncdn.com/i/teamlogos/ncaa/500/56.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/56.png']",5240016.0,0,Jamie Phillips Jr.,G,77,-1,1
108,108,Stetson,#0a5640,#56854e,"['http://a.espncdn.com/i/teamlogos/ncaa/500/56.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/56.png']",5240019.0,9,Blaize Sagna,G,75,-1,4
112,112,Stetson,#0a5640,#56854e,"['http://a.espncdn.com/i/teamlogos/ncaa/500/56.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/56.png']",4704048.0,24,Jordan Wood,F,82,215,4
114,114,Florida Atlantic,#00447c,#d31245,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2226.png']",4684289.0,12,Tre Carroll,F,79,233,3
116,116,Florida Atlantic,#00447c,#d31245,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2226.png']",4594079.0,0,Ken Evans Jr.,G,77,205,4
121,121,Florida Atlantic,#00447c,#d31245,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2226.png']",5075626.0,18,Baba Miller,F,83,215,3
124,124,Florida Atlantic,#00447c,#d31245,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2226.png']",4592606.0,24,KyKy Tandy,G,74,205,4
127,127,Florida Atlantic,#00447c,#d31245,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2226.png']",4712838.0,2,Leland Walker,G,73,185,3
129,129,Gardner-Webb,#c12535,#909090,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2241.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2241.png']",5240416.0,4,Pharrell Boyogueno,G,78,-1,3
138,138,Gardner-Webb,#c12535,#909090,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2241.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2241.png']",4589479.0,3,Jamaine Mann,G,78,230,4
140,140,Gardner-Webb,#c12535,#909090,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2241.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2241.png']",4702107.0,24,Isaiah Richards,F,82,225,4
141,141,Gardner-Webb,#c12535,#909090,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2241.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2241.png']",4592663.0,1,Anthony Selden,G,78,225,4
142,142,Gardner-Webb,#c12535,#909090,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2241.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2241.png']",5175657.0,8,Darryl Simmons II,G,71,160,2
147,147,Campbell,#152532,#c8caca,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2097.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2097.png']",4703253.0,21,Nolan Dorsey,G,77,205,4
148,148,Campbell,#152532,#c8caca,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2097.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2097.png']",5174947.0,2,Colby Duggan,F,79,220,2
150,150,Campbell,#152532,#c8caca,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2097.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2097.png']",5106610.0,7,Cam Gregory,G,77,170,3
156,156,Campbell,#152532,#c8caca,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2097.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2097.png']",5108138.0,13,Jasin Sinani,G,75,195,4
160,160,Campbell,#152532,#c8caca,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2097.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2097.png']",4708340.0,14,Caleb Zurliene,G,80,205,4
161,161,Lipscomb,#152532,#c8caca,[https://drive.google.com/drive-viewer/AKGpihaYb1Y1nEr1OtOU6402JARAiPa-6Moru1jZuz7Br_szY168Xq1E7MkBQHN6cMihX7ULokKQfUyKQP-JYZ05J_cdQ6JL1EKAPaM=w1920-h912],4703811.0,22,Joe Anderson,G,72,175,4
166,166,Lipscomb,#152532,#c8caca,[https://drive.google.com/drive-viewer/AKGpihaYb1Y1nEr1OtOU6402JARAiPa-6Moru1jZuz7Br_szY168Xq1E7MkBQHN6cMihX7ULokKQfUyKQP-JYZ05J_cdQ6JL1EKAPaM=w1920-h912],5176193.0,15,Dylan Faulkner,F,81,215,2
170,170,Lipscomb,#152532,#c8caca,[https://drive.google.com/drive-viewer/AKGpihaYb1Y1nEr1OtOU6402JARAiPa-6Moru1jZuz7Br_szY168Xq1E7MkBQHN6cMihX7ULokKQfUyKQP-JYZ05J_cdQ6JL1EKAPaM=w1920-h912],4703983.0,41,Jacob Ognacevic,F,80,220,4
171,171,Lipscomb,#152532,#c8caca,[https://drive.google.com/drive-viewer/AKGpihaYb1Y1nEr1OtOU6402JARAiPa-6Moru1jZuz7Br_szY168Xq1E7MkBQHN6cMihX7ULokKQfUyKQP-JYZ05J_cdQ6JL1EKAPaM=w1920-h912],4897562.0,10,Gyasi Powell,G,75,195,4
