,Team
0,Virginia-Lynchburg Dragons
1,DePaul Blue Demons
2,Trinity Baptist Eagles
3,South Alabama Jaguars
4,South Carolina Gamecocks
5,Jacksonville Dolphins
6,Miami (OH) RedHawks
7,West Georgia Wolves
8,Stetson Hatters
9,Chicago State Cougars
10,Queens University Royals
11,Winthrop Eagles
12,Georgia State Panthers
13,Chattanooga Mocs
14,VMI Keydets
15,East Tennessee State Buccaneers
16,Western Carolina Catamounts
17,Samford Bulldogs
18,Wofford Terriers
19,UNC Greensboro Spartans
20,Furman Paladins
21,The Citadel Bulldogs
22,Toledo Rockets
23,New Orleans Privateers
24,Arkansas Razorbacks
25,Oregon Ducks
26,UTSA Roadrunners
27,Merrimack Warriors
28,Eastern Kentucky Colonels
29,Houston Cougars
30,Middle Georgia State Knights
31,LaGrange Panthers
32,App State Mountaineers
33,Marshall Thundering Herd
34,Texas State Bobcats
35,Arkansas State Red Wolves
36,UL Monroe Warhawks
37,Southern Miss Golden Eagles
38,Georgia Southern Eagles
39,James Madison Dukes
40,Louisiana Ragin' Cajuns
41,Coastal Carolina Chanticleers
42,Old Dominion Monarchs
43,Maryville College (TN) Fighting Scots
44,Lipscomb Bisons
45,Air Force Falcons
46,Oral Roberts Golden Eagles
47,Loyola Marymount Lions
48,Tulane Green Wave
49,Gardner-Webb Runnin' Bulldogs
50,Illinois State Redbirds
51,Middle Tennessee Blue Raiders
52,Richmond Spiders
53,UC Irvine Anteaters
54,Drake Bulldogs
55,Northern Iowa Panthers
56,UIC Flames
57,Southern Illinois Salukis
58,Indiana State Sycamores
59,Valparaiso Beacons
60,Evansville Purple Aces
61,Bradley Braves
62,Murray State Racers
63,Missouri State Bears
64,Texas A&M Aggies
65,Purdue Fort Wayne Mastodons
66,Florida Atlantic Owls
67,Tennessee Tech Golden Eagles
68,Wisconsin Badgers
69,LSU Tigers
70,Milwaukee Panthers
71,California Baptist Lancers
72,Tarleton State Texans
73,Tulsa Golden Hurricane
74,Texas Tech Red Raiders
75,Kansas Jayhawks
76,Colorado Buffaloes
77,Arizona Wildcats
78,Arizona State Sun Devils
79,Iowa State Cyclones
80,TCU Horned Frogs
81,BYU Cougars
82,Cincinnati Bearcats
83,Baylor Bears
84,Oklahoma State Cowboys
85,Utah Utes
86,Kansas State Wildcats
87,West Virginia Mountaineers
88,Ball State Cardinals
89,Mississippi State Bulldogs
90,Jacksonville State Gamecocks
91,Toccoa Falls Eagles
92,North Carolina Central Eagles
93,Austin Peay Governors
94,Kentucky Wildcats
95,Kennesaw State Owls
