index,id,name,conference
0,596420,Texas A&M,SEC
1,596643,Oregon St.,Pac-12
2,596677,South Carolina,SEC
3,596721,Tennessee,SEC
4,596429,Troy,Sun Belt
5,596441,Wake Forest,ACC
6,596714,Oklahoma St.,Big 12
7,596614,North Carolina,ACC
8,596554,Georgia,SEC
9,596553,Georgia Tech,ACC
10,596634,Northern Ky.,Horizon
11,596450,William & Mary,CAA
12,596513,UC Irvine,Big West
13,596534,Delaware,CAA
14,596628,NC State,ACC
15,596638,Oakland,Horizon
16,596545,Florida St.,ACC
17,596705,High Point,Big South
18,596583,LSU,SEC
19,596709,Evansville,MVC
20,596572,Jacksonville,ASUN
21,596524,Coastal Carolina,Sun Belt
22,596682,Southern Ill.,MVC
23,596713,Nicholls,Southland
24,596574,Kansas St.,Big 12
25,596610,Morehead St.,OVC
26,596521,Cincinnati,Big 12
27,596516,Campbell,CAA
28,596704,Wofford,SoCon
29,596536,ETSU,SoCon
30,596439,Virginia,ACC
31,596540,Fairfield,MAAC
32,596639,Ohio St.,Big Ten
33,596641,Oklahoma,Big 12
34,596497,Bowling Green,MAC
35,596605,Mississippi St.,SEC
36,596659,Rider,MAAC
37,596718,Southeast Mo. St.,OVC
38,596423,Texas Tech,Big 12
39,596436,VCU,Atlantic 10
40,596523,Clemson,ACC
41,596494,Bethune-Cookman,SWAC
42,596550,Georgetown,Big East
43,596602,Michigan,Big Ten
44,596557,Hawaii,Big West
45,596607,Ole Miss,SEC
46,596720,Stetson,ASUN
47,596487,Arkansas,SEC
48,596631,Northeastern,CAA
49,596459,Col. of Charleston,CAA
50,596685,Missouri St.,MVC
51,596617,UNCW,CAA
52,596711,LIU,NEC
53,596701,Tulane,AAC
54,596649,Pittsburgh,ACC
55,596453,Wright St.,Horizon
56,596577,Kentucky,SEC
57,596708,Duke,ACC
58,596559,Holy Cross,Patriot
59,596611,Mount St. Mary's,MAAC
60,596691,Tennessee Tech,OVC
61,596440,Wagner,NEC
62,596490,Austin Peay,ASUN
63,596581,Liberty,CUSA
64,596715,Oral Roberts,Summit League
65,596624,New Orleans,Southland
66,596438,Virginia Tech,ACC
67,596612,Murray St.,MVC
68,596623,New Mexico,Mountain West
69,596592,UMBC,America East
70,596541,FDU,NEC
71,596563,Illinois,Big Ten
72,596566,Indiana,Big Ten
73,596437,VMI,SoCon
74,596448,Western Mich.,MAC
75,596579,Lamar University,Southland
76,596654,Quinnipiac,MAAC
77,596668,Samford,SoCon
78,596546,Florida,SEC
79,596710,Grambling,SWAC
80,596584,Louisiana Tech,CUSA
81,596597,Memphis,AAC
82,596719,Southern Miss.,Sun Belt
83,596542,Florida A&M,SWAC
84,596598,Mercer,SoCon
85,596458,Merrimack,NEC
86,596712,Nebraska,Big Ten
87,596653,Purdue,Big Ten
88,596564,UIC,MVC
89,596625,Niagara,MAAC
90,596489,Auburn,SEC
91,596569,Iowa,Big Ten
92,596454,Xavier,Big East
93,596589,Manhattan,MAAC
94,596543,Fla. Atlantic,AAC
95,596575,Kansas,Big 12
96,596532,Dayton,Atlantic 10
97,596686,Texas St.,Sun Belt
98,596477,Abilene Christian,WAC
99,596600,Miami,FL
100,596661,Sacred Heart,NEC
101,596484,App State,Sun Belt
102,596485,Arizona St.,Pac-12
103,596527,Coppin St.,NEC
104,596576,Kent St.,MAC
105,596472,Lipscomb,ASUN
106,596427,Toledo,MAC
107,596551,Ga. Southern,Sun Belt
108,596593,Maryland,Big Ten
109,596651,Prairie View,SWAC
110,596422,Texas Southern,SWAC
111,596667,Sam Houston,CUSA
112,596474,Utah Valley,WAC
113,596702,Army West Point,Patriot
114,596529,Creighton,Big East
115,596676,South Alabama,Sun Belt
116,596531,Davidson,Atlantic 10
117,596464,Presbyterian,Big South
118,596684,Southern U.,SWAC
119,596552,Georgia St.,Sun Belt
