,id,name,year,jersey,position,height,bat,throw,color,alt_color,logos,team
0,8881633,Ryan Prager,4,18,P,75,LEFT,LEFT,#500000,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/245.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/245.png']",Texas A&M
1,9107762,Sawyer Farr,1,5,INF,76,BOTH,RIGHT,#500000,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/245.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/245.png']",Texas A&M
2,9107770,Hayden Crites,1,47,C,72,BOTH,RIGHT,#500000,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/245.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/245.png']",Texas A&M
3,8902739,Jace Laviolette,3,17,OF,78,LEFT,LEFT,#500000,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/245.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/245.png']",Texas A&M
4,9107761,Terrence Kiel II,1,3,UT,73,BOTH,RIGHT,#500000,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/245.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/245.png']",Texas A&M
5,9107774,Wyatt Henseler,4,8,3B,73,RIGHT,RIGHT,#500000,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/245.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/245.png']",Texas A&M
6,8874113,Jacob Krieg,3,22,INF,77,RIGHT,RIGHT,#231f20,#d73f09,"['http://a.espncdn.com/i/teamlogos/ncaa/500/204.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/204.png']",Oregon State
7,8881304,Nelson Keljo,3,36,P,76,LEFT,LEFT,#231f20,#d73f09,"['http://a.espncdn.com/i/teamlogos/ncaa/500/204.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/204.png']",Oregon State
8,9107049,Adam Haight,1,17,UT,74,RIGHT,RIGHT,#231f20,#d73f09,"['http://a.espncdn.com/i/teamlogos/ncaa/500/204.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/204.png']",Oregon State
9,9107051,Kailand Halstead,1,45,C,70,RIGHT,RIGHT,#231f20,#d73f09,"['http://a.espncdn.com/i/teamlogos/ncaa/500/204.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/204.png']",Oregon State
10,8886401,Gavin Turley,3,1,OF,73,RIGHT,RIGHT,#231f20,#d73f09,"['http://a.espncdn.com/i/teamlogos/ncaa/500/204.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/204.png']",Oregon State
