,id,team,weight,height,jersey,year,position,name,school,color,alt_color,logos
0,4433971,Syracuse,220.0,75.0,6.0,4.0,QB,Kyle McCord,Syracuse,#ff6500,#000e54,"['http://a.espncdn.com/i/teamlogos/ncaa/500/183.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/183.png']"
1,4911851,Syracuse,201.0,72.0,1.0,3.0,RB,LeQuint Allen,Syracuse,#ff6500,#000e54,"['http://a.espncdn.com/i/teamlogos/ncaa/500/183.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/183.png']"
2,4575862,Syracuse,184.0,72.0,2.0,3.0,WR,Trebor Pena,Syracuse,#ff6500,#000e54,"['http://a.espncdn.com/i/teamlogos/ncaa/500/183.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/183.png']"
3,4595342,Syracuse,236.0,77.0,19.0,3.0,TE,Oronde Gadsden II,Syracuse,#ff6500,#000e54,"['http://a.espncdn.com/i/teamlogos/ncaa/500/183.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/183.png']"
4,4694399,Syracuse,179.0,71.0,96.0,3.0,PK,Jackson Kennedy,Syracuse,#ff6500,#000e54,"['http://a.espncdn.com/i/teamlogos/ncaa/500/183.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/183.png']"
5,4689114,Ole Miss,220.0,74.0,2.0,4.0,QB,Jaxson Dart,Ole Miss,#13294b,#c8102e,"['http://a.espncdn.com/i/teamlogos/ncaa/500/145.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/145.png']"
6,4431310,Ole Miss,190.0,70.0,21.0,4.0,RB,Henry Parrish Jr.,Ole Miss,#13294b,#c8102e,"['http://a.espncdn.com/i/teamlogos/ncaa/500/145.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/145.png']"
7,4686612,Ole Miss,205.0,74.0,9.0,4.0,WR,Tre Harris,Ole Miss,#13294b,#c8102e,"['http://a.espncdn.com/i/teamlogos/ncaa/500/145.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/145.png']"
8,4838696,Ole Miss,250.0,76.0,8.0,3.0,TE,Dae'Quan Wright,Ole Miss,#13294b,#c8102e,"['http://a.espncdn.com/i/teamlogos/ncaa/500/145.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/145.png']"
9,4570688,Ole Miss,200.0,75.0,41.0,4.0,PK,Caden Davis,Ole Miss,#13294b,#c8102e,"['http://a.espncdn.com/i/teamlogos/ncaa/500/145.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/145.png']"
10,4688380,Miami,223.0,74.0,1.0,4.0,QB,Cam Ward,Miami,#005030,#f47321,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2390.png']"
11,4808830,Miami,232.0,72.0,6.0,3.0,RB,Damien Martinez,Miami,#005030,#f47321,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2390.png']"
12,4431353,Miami,198.0,70.0,7.0,4.0,WR,Xavier Restrepo,Miami,#005030,#f47321,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2390.png']"
13,4678006,Miami,245.0,76.0,8.0,3.0,TE,Elijah Arroyo,Miami,#005030,#f47321,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2390.png']"
14,4569923,Miami,170.0,71.0,30.0,4.0,PK,Andres Borregales,Miami,#005030,#f47321,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2390.png']"
15,4685413,Clemson,210.0,74.0,2.0,3.0,QB,Cade Klubnik,Clemson,#f56600,#522d80,"['http://a.espncdn.com/i/teamlogos/ncaa/500/228.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png']"
16,4431562,Clemson,230.0,73.0,7.0,4.0,RB,Phil Mafah,Clemson,#f56600,#522d80,"['http://a.espncdn.com/i/teamlogos/ncaa/500/228.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png']"
17,5081432,Clemson,190.0,71.0,-1.0,2.0,WR,Antonio Williams,Clemson,#f56600,#522d80,"['http://a.espncdn.com/i/teamlogos/ncaa/500/228.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png']"
18,4431196,Clemson,240.0,78.0,9.0,4.0,TE,Jake Briningstool,Clemson,#f56600,#522d80,"['http://a.espncdn.com/i/teamlogos/ncaa/500/228.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png']"
19,5119662,Clemson,190.0,73.0,81.0,1.0,PK,Nolan Hauser,Clemson,#f56600,#522d80,"['http://a.espncdn.com/i/teamlogos/ncaa/500/228.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png']"
20,4432762,Colorado,215.0,74.0,2.0,4.0,QB,Shedeur Sanders,Colorado,#CFB87C,#000000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/38.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/38.png']"
21,4921292,Colorado,210.0,74.0,23.0,2.0,RB,Isaiah Augustave,Colorado,#CFB87C,#000000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/38.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/38.png']"
22,4685415,Colorado,185.0,73.0,12.0,3.0,WR,Travis Hunter,Colorado,#CFB87C,#000000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/38.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/38.png']"
23,4428997,Colorado,260.0,75.0,13.0,4.0,TE,Sav'ell Smalls,Colorado,#CFB87C,#000000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/38.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/38.png']"
24,4917399,Colorado,190.0,69.0,16.0,3.0,PK,Alejandro Mata,Colorado,#CFB87C,#000000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/38.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/38.png']"
25,4692530,North Texas,190.0,72.0,4.0,3.0,QB,Chandler Morris,North Texas,#00853E,#000000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/249.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/249.png']"
26,5150786,North Texas,191.0,69.0,25.0,1.0,RB,Makenzie McGill,North Texas,#00853E,#000000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/249.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/249.png']"
27,5153056,North Texas,172.0,70.0,10.0,3.0,WR,DT Sheffield,North Texas,#00853E,#000000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/249.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/249.png']"
28,5219835,North Texas,236.0,75.0,23.0,3.0,TE,Oscar Hammond,North Texas,#00853E,#000000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/249.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/249.png']"
29,5150789,North Texas,182.0,70.0,40.0,1.0,PK,Kali Nguma,North Texas,#00853E,#000000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/249.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/249.png']"
30,4567747,LSU,198.0,74.0,13.0,3.0,QB,Garrett Nussmeier,LSU,#461d7c,#fdd023,"['http://a.espncdn.com/i/teamlogos/ncaa/500/99.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/99.png']"
31,5079379,LSU,198.0,69.0,29.0,1.0,RB,Caden Durham,LSU,#461d7c,#fdd023,"['http://a.espncdn.com/i/teamlogos/ncaa/500/99.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/99.png']"
32,4691138,LSU,185.0,68.0,1.0,2.0,WR,Aaron Anderson,LSU,#461d7c,#fdd023,"['http://a.espncdn.com/i/teamlogos/ncaa/500/99.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/99.png']"
33,4808766,LSU,253.0,78.0,86.0,3.0,TE,Mason Taylor,LSU,#461d7c,#fdd023,"['http://a.espncdn.com/i/teamlogos/ncaa/500/99.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/99.png']"
34,4893639,LSU,186.0,74.0,34.0,3.0,PK,Damian Ramos,LSU,#461d7c,#fdd023,"['http://a.espncdn.com/i/teamlogos/ncaa/500/99.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/99.png']"
35,4427238,Oregon,204.0,71.0,8.0,4.0,QB,Dillon Gabriel,Oregon,#007030,#fee11a,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2483.png']"
36,4685397,Oregon,205.0,70.0,20.0,3.0,RB,Jordan James,Oregon,#007030,#fee11a,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2483.png']"
37,4608810,Oregon,160.0,70.0,15.0,4.0,WR,Tez Johnson,Oregon,#007030,#fee11a,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2483.png']"
38,4570037,Oregon,255.0,77.0,3.0,4.0,TE,Terrance Ferguson,Oregon,#007030,#fee11a,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2483.png']"
39,4892332,Oregon,188.0,70.0,36.0,3.0,PK,Atticus Sappington,Oregon,#007030,#fee11a,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2483.png']"
40,4915980,Washington State,219.0,73.0,10.0,2.0,QB,John Mateer,Washington State,#981e32,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/265.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/265.png']"
