,id,name,conference
0,587854,Western Michigan,MVC
1,587945,Florida Atlantic,The American
2,587883,Akron,Big East
3,587938,Duke,ACC
4,587871,Kansas City,Summit League
5,587800,Oregon State,WCC
6,587934,Denver,Summit League
7,587900,Bowling Green,MVC
8,587806,Portland,WCC
9,587933,Delaware,CAA
10,587931,Dayton,Atlantic 10
11,587834,Missouri State,MVC
12,587927,Cornell,Ivy League
13,587864,Col. of Charleston,CAA
14,587797,Ohio State,Big Ten
15,587868,Presbyterian,Big South
16,587809,Quinnipiac,MAAC
17,587921,Clemson,ACC
18,587949,George Mason,Atlantic 10
19,587908,Cal St. Fullerton,Big West
20,587869,Seattle U,WAC
21,587794,Notre Dame,ACC
22,587928,Creighton,Big East
23,587963,Iona,MAAC
24,587872,North Florida,ASUN
25,587911,UC Santa Barbara,Big West
26,587956,Hofstra,CAA
27,587820,Saint Louis,Atlantic 10
28,587805,Pittsburgh,ACC
29,587813,Robert Morris,Horizon
30,587860,Wright State,Horizon
31,587857,Green Bay,Horizon
32,587915,UCLA,Big Ten
33,587973,Louisville,ACC
34,587817,Saint Francis,NEC
35,587844,Vermont,America East
36,588000,NC State,ACC
37,587818,St. John's,NY
38,587947,Fordham,Atlantic 10
39,587905,Butler,Big East
40,587932,DePaul,Big East
41,587952,Georgia Southern,Sun Belt
42,587830,South Carolina,Sun Belt
43,587961,Indiana,Big Ten
44,587983,Maryland,Big Ten
45,587824,San Diego,WCC
46,587859,Milwaukee,Horizon
47,587982,UMBC,America East
48,587981,Marshall,Sun Belt
49,587970,Liberty,OVC
50,587863,Central Arkansas,ASUN
51,587966,Kentucky,Sun Belt
52,587849,Virginia,ACC
53,587940,ETSU,SoCon
54,587948,Furman,SoCon
55,587835,Stanford,ACC
56,587922,Cleveland State,Horizon
57,587937,Drexel,CAA
58,587877,High Point,Big South
59,587816,St. Bonaventure,Atlantic 10
60,587845,Villanova,Big East
61,587992,Charlotte,The American
62,587804,Penn,Ivy League
63,587790,Northeastern,CAA
64,587988,Michigan,Big Ten
65,587852,West Virginia,Sun Belt
66,587935,Detroit Mercy,Horizon
67,587793,Northwestern,Big Ten
68,587848,Virginia Tech,ACC
69,587920,UCF,Sun Belt
70,587930,Davidson,Atlantic 10
71,587972,Longwood,Big South
72,587986,Mercer,SoCon
73,587910,Sacramento State,Big West
74,587823,San Diego State,WAC
75,587958,Houston Christian,OVC
76,587913,UC Davis,Big West
77,587955,Harvard,Ivy League
78,587865,Elon,CAA
79,587977,Loyola Chicago,Atlantic 10
80,587984,Massachusetts,Atlantic 10
81,587847,VMI,SoCon
82,587951,Georgetown,Big East
83,587851,Washington,Big Ten
84,587807,Princeton,Ivy League
85,587914,UC Irvine,Big West
86,587943,Fairfield,MAAC
87,587993,UNC Greensboro,SoCon
88,587979,Marist,MAAC
89,587916,UC Riverside,Big West
90,587855,William & Mary,CAA
91,587858,Wisconsin,Big Ten
92,587912,California,ACC
93,587917,Campbell,CAA
94,587957,Holy Cross,Patriot
95,587926,UConn,Big East
96,587833,SMU,ACC
97,587989,Monmouth,CAA
98,587837,Stony Brook,CAA
99,587896,American,Patriot
100,587808,Providence,Big East
101,587975,Loyola Maryland,Patriot
102,587997,New Hampshire,America East
103,587866,Gardner-Webb,Big South
104,587942,Evansville,MVC
105,587796,Oakland,Horizon
106,587880,Utah Valley,WAC
107,587944,FDU,NEC
108,587901,Bradley,MVC
109,587978,Manhattan,MAAC
110,587962,Purdue Fort Wayne,Horizon
111,587903,Bryant,America East
112,587971,LIU,NEC
113,587902,Brown,Ivy League
114,587907,CSU Bakersfield,Big West
115,587939,Duquesne,Atlantic 10
116,587990,UNC Asheville,Big South
117,587918,Canisius,MAAC
118,587832,SIUE,OVC
119,587994,UNCW,CAA
120,587802,UTRGV,WAC
121,587876,Belmont,MVC
122,587898,Boston College,ACC
123,587798,Old Dominion,Sun Belt
124,587836,Stetson,ASUN
125,587954,Gonzaga,WCC
126,587828,Seton Hall,Big East
127,587829,Siena,MAAC
128,587897,Binghamton,America East
129,587965,James Madison,Sun Belt
130,587904,Bucknell,Patriot
131,587791,NIU,MVC
132,587831,South Florida,The American
133,587825,San Francisco,WCC
134,587838,Syracuse,ACC
135,587875,USC Upstate,Big South
136,587899,Boston U.,Patriot
137,587850,Wake Forest,ACC
138,587826,San Jose State,WAC
139,587959,Howard,NEC
140,587792,Northern Kentucky,Horizon
141,587799,Oral Roberts,Summit League
142,587814,Rutgers,Big Ten
143,587960,UIC,MVC
144,587967,La Salle,Atlantic 10
145,587968,Lafayette,Patriot
146,587991,North Carolina,ACC
147,587812,Rider,MAAC
148,587884,Bellarmine,ASUN
149,587929,Dartmouth,Ivy League
150,587862,Yale,Ivy League
151,587936,Drake,MVC
152,587985,Memphis,The American
153,587996,UNLV,WAC
154,587874,Wofford,SoCon
155,587867,Grand Canyon,WAC
156,587906,Cal Poly,Big West
157,587853,Western Illinois,OVC
158,587801,Pacific,WCC
159,587815,Sacred Heart,MAAC
160,587924,Colgate,Patriot
161,587909,CSUN,Big West
162,587879,FGCU,ASUN
163,587840,Tulsa,The American
164,587894,UAB,The American
165,587881,California Baptist,WAC
166,587998,NJIT,America East
167,587895,UAlbany,America East
168,587950,George Washington,Atlantic 10
169,587870,IU Indy,Horizon
170,587811,Rhode Island,Atlantic 10
171,587821,Saint Mary's,CA
172,587803,Penn State,Big Ten
173,587969,Lehigh,Patriot
174,587882,Mount St. Mary's,MAAC
175,587885,UC San Diego,Big West
176,587856,Winthrop,Big South
177,587953,Georgia State,Sun Belt
178,587980,Marquette,Big East
179,587995,Omaha,Summit League
180,587819,Saint Joseph's,Atlantic 10
181,587893,Merrimack,MAAC
182,587843,Navy,Patriot
183,587974,UMass Lowell,America East
184,587842,Army West Point,Patriot
185,587941,Eastern Illinois,OVC
186,587878,Lipscomb,ASUN
187,587999,Niagara,MAAC
188,587886,Chicago State,NEC
189,587946,FIU,The American
190,587892,Utah Tech,WAC
191,587976,LMU,CA
192,587987,Michigan State,Big Ten
193,587861,Xavier,Big East
194,587919,Central Conn. State,NEC
195,587923,Coastal Carolina,Sun Belt
196,587827,Santa Clara,WCC
197,587964,Jacksonville,ASUN
198,587925,Columbia,Ivy League
199,587810,Radford,Big South
200,587873,UIW,OVC
201,587846,VCU,Atlantic 10
202,587822,Saint Peter's,MAAC
203,587841,Air Force,WAC
204,587839,Temple,The American
